"DISSEMINATION  ",,,"CONTINUUM  ",2004,,"Power Plant Engineering by H.G.Katariya and J.P.Hadiya",,"ENGLISH","LONDON","100  ","  ","7010.jpg",,"DERRIDA, JACQUES.  ","GEN,TITLE,","00001",,"1","350  ","E mail:bookind@gmail.com","UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"CONJECTURES AND REFUTATIONS  ",,,"ROUTLEDGE CLASSICAL",2002,,,,"ENGLISH","LONDON","121","  ","7010.jpg","abc.pdf","POPPER, KARL.  ","GEN,TITLE,","00002",,"1","525  ","E mail:bookind@gmail.com","UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"KEY CONCEPTS IN THE PHILOSOPHY OF EDUCATION  ",,,"ROUTLEDGE CLASSICAL",1999,,,,"ENGLISH","NEW DELHI","370.1  ","  ",,,"WINCH, CHRISTOPHER. AND GINGELL, JOHN.  ","GEN,TITLE,","00003",,"1","295  ",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"PHILOSOPHY OF SOCIAL SCIENCE  ",,,"CAMBRIDGE UNIVERSITY PRESS",2000,,,,"ENGLISH","CAMBRIDGE","300.10","  ",,,"HOLLIS,MARTIN  ","GEN,TITLE,","00004",,"1","165  ",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"CONFLICT OF INTERPRETATIONS  ",,,"CONTINUUM  ",2005,,,,"ENGLISH","LONDON","121.68  ","  ",,,"RICOEUR, PAUL.  ","GEN,TITLE,","00005",,"1","395  ",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"LITERATURE POLITICS AND CULTURE IN POSTWAR BRITAIN",,,"CONTINUUM  ",2005,,,,"ENGLISH","LONDON","820.9358","  ",,,"SINFIELD, A.","GEN,TITLE,","00006",,"1","350  ",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"AESTHETIC THEORY  ",,,"CONTINUUM  ",2005,,,,"ENGLISH","LONDON","111.85","  ",,,"ADORNO, THEODOR W  ","GEN,TITLE,","00007",,"1","395  ",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"SYMBOLS OF TRADE  ",,,"MANOHAR PUBLICATION",2004,,,,"ENGLISH","SIMLA","382.174  ","  ",,,"SURESH, S.  ","GEN,TITLE,","00008",,"1","525  ",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"THINKING IT THROUGH  ",,,"OXFORD UNIVERSITY PRESS",2003,,,,"ENGLISH","NEW DELHI ","100  ","  ",,,"APPIAH, KWAME, ANTHONY.  ","CE, IT,TITLE,","00009",,"1","475  ",,"UNIQUE BOOK STORE",,,,"CE, IT,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"GOLDEN TREASURY OF INDO-ANGLIAN POETRY  ",,,"SAHITYA ACADEMY",2001,,,,"ENGLISH","NEW DELHI","809.1954","  ",,,"GOKAK, VINAYAK, KRISHNA.  ","GEN,TITLE,","00010",,"1","75  ",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
